"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Blaine Hardy","Tigers","4","5","1","30","13","86.0","6.91","2.30","1.05",".275","74.2 %","42.0 %","9.3 %","3.56","3.98","4.52","1.2","6499"
"Caleb Smith","Marlins","5","6","0","16","16","77.1","10.24","3.84","1.16",".276","74.1 %","28.4 %","10.0 %","4.19","3.96","4.42","1.2","14875"
"Antonio Senzatela","Rockies","6","6","0","23","13","90.1","6.87","2.99","1.00",".302","72.6 %","46.3 %","10.8 %","4.38","4.17","4.43","1.2","15488"
"Jose Alvarez","Angels","6","4","1","76","0","63.0","8.43","3.14","0.43",".274","77.7 %","45.0 %","5.1 %","2.71","3.05","3.98","1.2","5358"
"Jesse Chavez","- - -","5","2","5","62","0","95.1","8.69","1.60","1.23",".278","88.2 %","44.2 %","13.7 %","2.55","3.54","3.41","1.2","5448"
"Dan Winkler","Braves","4","0","2","69","0","60.1","10.29","2.98","0.45",".310","68.7 %","38.1 %","5.2 %","3.43","2.76","3.70","1.2","12237"
"Jeremy Hellickson","Nationals","5","3","0","19","19","91.1","6.41","1.97","1.08",".252","71.7 %","45.9 %","12.4 %","3.45","4.22","4.27","1.2","4371"
"Seung Hwan Oh","- - -","6","3","3","73","0","68.1","10.40","2.24","1.05",".265","84.1 %","30.1 %","9.2 %","2.63","3.29","3.87","1.2","18719"
"Wei-Yin Chen","Marlins","6","12","0","26","26","133.1","7.49","3.17","1.28",".284","68.2 %","37.0 %","10.9 %","4.79","4.43","4.73","1.2","13071"
"Jared Hughes","Reds","4","3","7","72","0","78.2","6.75","2.63","0.46",".252","85.1 %","65.4 %","10.8 %","1.94","3.28","3.39","1.2","9325"
"John Gant","Cardinals","7","6","0","26","19","114.0","7.50","4.50","0.71",".253","69.9 %","45.1 %","8.1 %","3.47","4.07","4.66","1.2","13684"
"Ryne Stanek","Rays","2","3","0","59","29","66.1","10.99","3.66","1.09",".253","80.9 %","32.7 %","10.0 %","2.98","3.55","3.98","1.2","15947"
"Yonny Chirinos","Rays","5","5","0","18","7","89.2","7.53","2.51","0.70",".298","71.0 %","43.7 %","8.3 %","3.51","3.51","4.04","1.1","16401"
"Joey Lucchesi","Padres","8","9","0","26","26","130.0","10.04","2.98","1.59",".306","78.0 %","44.7 %","20.4 %","4.08","4.31","3.45","1.1","19320"
"Ivan Nova","Pirates","9","9","0","29","29","161.0","6.37","1.96","1.45",".288","73.7 %","45.6 %","14.8 %","4.19","4.57","4.28","1.1","1994"
"Dylan Covey","White Sox","5","14","0","27","21","121.2","6.73","3.85","0.96",".302","61.9 %","55.1 %","13.4 %","5.18","4.39","4.31","1.1","14825"
"Danny Duffy","Royals","8","12","0","28","28","155.0","8.19","4.06","1.34",".304","73.5 %","35.4 %","11.4 %","4.88","4.70","4.92","1.1","3542"
"Tyson Ross","- - -","8","9","0","31","23","149.2","7.34","3.73","1.02",".270","72.2 %","45.9 %","14.0 %","4.15","4.39","4.25","1.0","7872"
"Reyes Moronta","Giants","5","2","1","69","0","65.0","10.94","5.12","0.55",".211","78.0 %","42.1 %","6.6 %","2.49","3.24","3.99","1.0","14966"
"Garrett Richards","Angels","5","4","0","16","16","76.1","10.26","4.01","1.30",".277","67.0 %","49.3 %","17.5 %","3.66","4.13","3.62","1.0","9784"
"David Hernandez","Reds","5","2","0","57","0","64.0","9.14","2.39","0.84",".248","80.5 %","32.9 %","7.9 %","2.53","3.38","4.12","1.0","4259"
"Dylan Floro","- - -","6","3","0","54","0","64.0","8.16","3.23","0.42",".290","83.3 %","55.1 %","6.1 %","2.25","3.08","3.74","1.0","13394"
"Andrew Suarez","Giants","7","13","0","29","29","160.1","7.30","2.53","1.29",".302","70.5 %","51.3 %","17.8 %","4.49","4.30","3.77","1.0","18300"
"Brent Suter","Brewers","8","7","0","20","18","101.1","7.46","1.69","1.60",".281","70.1 %","33.0 %","15.5 %","4.44","4.49","4.07","1.0","13942"
